Category,ID,Code_Original,Emoji_Code_2nd_Option,Emoji_Name,Emoji_Code_CASI,Emoji_Code_FINAL
face-smiling,1,U+1F600,U0001F600,grinning_face,\\\\U0001F600\\,\'\\U0001f600\
face-smiling,2,U+1F603,U0001F603,grinning_face_with_big_eyes,\\\\U0001F603\\,\'\\U0001f603\
face-smiling,3,U+1F604,U0001F604,grinning_face_with_smiling_eyes,\\\\U0001F604\\,\'\\U0001f604\
face-smiling,4,U+1F601,U0001F601,beaming_face_with_smiling_eyes,\\\\U0001F601\\,\'\\U0001f601\
face-smiling,5,U+1F606,U0001F606,grinning_squinting_face,\\\\U0001F606\\,\'\\U0001f606\
face-smiling,6,U+1F605,U0001F605,grinning_face_with_sweat,\\\\U0001F605\\,\'\\U0001f605\
face-smiling,7,U+1F923,U0001F923,rolling_on_the_floor_laughing,\\\\U0001F923\\,\'\\U0001f923\
face-smiling,8,U+1F602,U0001F602,face_with_tears_of_joy,\\\\U0001F602\\,\'\\U0001f602\
face-smiling,9,U+1F642,U0001F642,slightly_smiling_face,\\\\U0001F642\\,\'\\U0001f642\
face-smiling,10,U+1F643,U0001F643,upside-down_face,\\\\U0001F643\\,\'\\U0001f643\
face-smiling,11,U+1FAE0,U0001FAE0,melting_face,\\\\U0001FAE0\\,\'\\U0001fae0\
face-smiling,12,U+1F609,U0001F609,winking_face,\\\\U0001F609\\,\'\\U0001f609\
face-smiling,13,U+1F60A,U0001F60A,smiling_face_with_smiling_eyes,\\\\U0001F60A\\,\'\\U0001f60a\
face-smiling,14,U+1F607,U0001F607,smiling_face_with_halo,\\\\U0001F607\\,\'\\U0001f607\
face-affection,15,U+1F970,U0001F970,smiling_face_with_hearts,\\\\U0001F970\\,\'\\U0001f970\
face-affection,16,U+1F60D,U0001F60D,smiling_face_with_heart-eyes,\\\\U0001F60D\\,\'\\U0001f60d\
face-affection,17,U+1F929,U0001F929,star-struck,\\\\U0001F929\\,\'\\U0001f929\
face-affection,18,U+1F618,U0001F618,face_blowing_a_kiss,\\\\U0001F618\\,\'\\U0001f618\
face-affection,19,U+1F617,U0001F617,kissing_face,\\\\U0001F617\\,\'\\U0001f617\
face-affection,20,U+263A,U000263A,smiling_face,\\\\U000263A\\,\'\\U000263a\
face-affection,21,U+1F61A,U0001F61A,kissing_face_with_closed_eyes,\\\\U0001F61A\\,\'\\U0001f61a\
face-affection,22,U+1F619,U0001F619,kissing_face_with_smiling_eyes,\\\\U0001F619\\,\'\\U0001f619\
face-affection,23,U+1F972,U0001F972,smiling_face_with_tear,\\\\U0001F972\\,\'\\U0001f972\
face-tongue,24,U+1F60B,U0001F60B,face_savoring_food,\\\\U0001F60B\\,\'\\U0001f60b\
face-tongue,25,U+1F61B,U0001F61B,face_with_tongue,\\\\U0001F61B\\,\'\\U0001f61b\
face-tongue,26,U+1F61C,U0001F61C,winking_face_with_tongue,\\\\U0001F61C\\,\'\\U0001f61c\
face-tongue,27,U+1F92A,U0001F92A,zany_face,\\\\U0001F92A\\,\'\\U0001f92a\
face-tongue,28,U+1F61D,U0001F61D,squinting_face_with_tongue,\\\\U0001F61D\\,\'\\U0001f61d\
face-tongue,29,U+1F911,U0001F911,money-mouth_face,\\\\U0001F911\\,\'\\U0001f911\
face-hand,30,U+1F917,U0001F917,smiling_face_with_open_hands,\\\\U0001F917\\,\'\\U0001f917\
face-hand,31,U+1F92D,U0001F92D,face_with_hand_over_mouth,\\\\U0001F92D\\,\'\\U0001f92d\
face-hand,32,U+1FAE2,U0001FAE2,face_with_open_eyes_and_hand_over_mouth,\\\\U0001FAE2\\,\'\\U0001fae2\
face-hand,33,U+1FAE3,U0001FAE3,face_with_peeking_eye,\\\\U0001FAE3\\,\'\\U0001fae3\
face-hand,34,U+1F92B,U0001F92B,shushing_face,\\\\U0001F92B\\,\'\\U0001f92b\
face-hand,35,U+1F914,U0001F914,thinking_face,\\\\U0001F914\\,\'\\U0001f914\
face-hand,36,U+1FAE1,U0001FAE1,saluting_face,\\\\U0001FAE1\\,\'\\U0001fae1\
face-neutral-skeptical,37,U+1F910,U0001F910,zipper-mouth_face,\\\\U0001F910\\,\'\\U0001f910\
face-neutral-skeptical,38,U+1F928,U0001F928,face_with_raised_eyebrow,\\\\U0001F928\\,\'\\U0001f928\
face-neutral-skeptical,39,U+1F610,U0001F610,neutral_face,\\\\U0001F610\\,\'\\U0001f610\
face-neutral-skeptical,40,U+1F611,U0001F611,expressionless_face,\\\\U0001F611\\,\'\\U0001f611\
face-neutral-skeptical,41,U+1F636,U0001F636,face_without_mouth,\\\\U0001F636\\,\'\\U0001f636\
face-neutral-skeptical,42,U+1FAE5,U0001FAE5,dotted_line_face,\\\\U0001FAE5\\,\'\\U0001fae5\
face-neutral-skeptical,43,U+1F636 U+200D U+1F32B U+FE0F,U0001F636 U000200D U0001F32B U000FE0F,face_in_clouds,\\\\U0001F636 \U000200D \U0001F32B \U000FE0F\\,\'\\U0001f636 \U000200d \U0001f32b \U000fe0f\
face-neutral-skeptical,44,U+1F60F,U0001F60F,smirking_face,\\\\U0001F60F\\,\'\\U0001f60f\
face-neutral-skeptical,45,U+1F612,U0001F612,unamused_face,\\\\U0001F612\\,\'\\U0001f612\
face-neutral-skeptical,46,U+1F644,U0001F644,face_with_rolling_eyes,\\\\U0001F644\\,\'\\U0001f644\
face-neutral-skeptical,47,U+1F62C,U0001F62C,grimacing_face,\\\\U0001F62C\\,\'\\U0001f62c\
face-neutral-skeptical,48,U+1F62E U+200D U+1F4A8,U0001F62E U000200D U0001F4A8,face_exhaling,\\\\U0001F62E \U000200D \U0001F4A8\\,\'\\U0001f62e \U000200d \U0001f4a8\
face-neutral-skeptical,49,U+1F925,U0001F925,lying_face,\\\\U0001F925\\,\'\\U0001f925\
face-sleepy,50,U+1F60C,U0001F60C,relieved_face,\\\\U0001F60C\\,\'\\U0001f60c\
face-sleepy,51,U+1F614,U0001F614,pensive_face,\\\\U0001F614\\,\'\\U0001f614\
face-sleepy,52,U+1F62A,U0001F62A,sleepy_face,\\\\U0001F62A\\,\'\\U0001f62a\
face-sleepy,53,U+1F924,U0001F924,drooling_face,\\\\U0001F924\\,\'\\U0001f924\
